PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
ctbj18410-mustard,1,1,1,1,Mustard Button-Down Kurta ,2500,Jacquard,Mustard,"Mustard Jacquard kurta with pleated sleeves and button detailing.
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctbj18410-mustard.html,
ctbj18409-black,1,1,1,1,Jacquard Kurta ,2500,Jacquard,Black,"Jacquard kurta with button detailing and side pockets
The model is wearing size 8.Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ctbj18409-black.html,
ctbj18407-blue,1,1,1,1,Jacquard Top ,2500,Jacquard,Blue,"Jacquard top with tassel detailing on neck line.
The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/ctbj18407-blue.html,
etp18403-pink,1,1,1,1,Printed Kurta ,2000,Khaddar,Pink,Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etp18403-pink.html,
etec18405-maroon,1,1,1,1,Embroidered Kurta ,3200,Cross Hatch Denim,Maroon,"Embroidered Kurta with side pockets and button finish The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/etec18405-maroon.html,
etec18404-grey,1,1,1,1,Embroidered Kurta ,3200,Cross Hatch Denim,Grey,"Embroidered Kurta The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/etec18404-grey.html,
etec18401-white,1,1,1,1,Embroidered Kurta ,3200,Cross Hatch Denim,White,"Embroidered Kurta with fringe finish on the sleeves and hemline The model is wearing size 8
Model Height: 168cm / 5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/etec18401-white.html,
etsp18302-yellow,1,1,1,1,Printed Satin Kurta ,3500,Satin,Yellow,Printed Satin KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etsp18302-yellow.html,
etsp18301-yellow,1,1,1,1,Printed Satin Kurta ,3500,Satin,Yellow,Printed Satin KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etsp18301-yellow.html,
etsp18301-orange,1,1,1,1,Printed Satin Kurta ,3500,Satin,Orange,Printed Satin KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etsp18301-orange.html,
mtdps18302-green,1,1,1,1,Printed Top ,3200,Satin,Green,Printed TopThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18302-green.html,
mtdp18302-mustard,1,1,1,1,Digital Printed Top ,2400,Lawn,Mustard,Digital Printed TopThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18302-mustard.html,
mtdps18303-green,1,1,1,1,Cross-Over Satin Top  ,3200,Satin,Green,Cross-Over Satin Top The model is wearing size 8.Model Height: 168cm / 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18303-green.html,
etdpe18304-yellow,1,1,1,1,Digital Printed Kurta ,3200,Lawn,Yellow,Digital Printed KurtaThe model is wearing size 8.Model Height: 5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18304-yellow.html,
mtb18304-white,1,1,1,1,Shoulder-Patch Top  ,2900,Brosha,White,Brosha Top with long puff sleevesThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mtb18304-white.html,
wkbp18202-white,1,1,1,1,Block Printed Peplum  ,4000,Handwoven,White,Block Printed Kurta,Khaadi,https://www.khaadi.com/pk/wkbp18202-white.html,
mtb18305-grey,1,1,1,1,Flared Tunic ,2900,Brosha,Grey,Tassel tie-up detailing The model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtb18305-grey.html,
mtb18304-yellow,1,1,1,1,Shoulder-Patch Top  ,2900,Brosha,Yellow,Brosha Top with long puff sleevesThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mtb18304-yellow.html,
mtb18302-blue,1,1,1,1,Drawstring Brosha Top ,2500,Brosha,Blue,"Pockets on the side, tassel string.The model is wearing size 8.Model Height: 167cm/5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mtb18302-blue.html,
mte18308-green,1,1,1,1,Embroidered Top ,3200,Poplin,Green,Embroidered TopThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mte18308-green.html,
mte18307-blue,1,1,1,1,Embroidered Top ,3900,Poplin,Blue,Embroidered TopThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mte18307-blue.html,
etdpe18303-mustard,1,1,1,1,Digital Printed Kurta ,3200,Lawn,Mustard,Digital PrintedThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18303-mustard.html,
etpe18303-blue,1,1,1,1,Embroidered Kurta ,2900,Lawn,Blue,Embroidered KurtaModel is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18303-blue.html,
mtdps18301-black,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Black,Digital Printed Satin TopModel is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18301-black.html,
etdpe18311-green,1,1,1,1,Digital Printed Kurta ,3200,Cambric,Green,Digital Printed KurtaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18311-green.html,
etpe18302-red,1,1,1,1,Embroidered Kurta ,2900,Lawn,Red,Embroidered kurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18302-red.html,
etpe18301-blue,1,1,1,1,Embroidered Kurta ,3000,Lawn,Blue,Embroidered kurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18301-blue.html,
etsp18303-grey,1,1,1,1,Satin Printed Kurta ,3500,Satin,Grey,Satin Printed KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etsp18303-grey.html,
etdp18314-beige,1,1,1,1,Digital Printed Kurta ,2400,Lawn,Beige,Digital Printed KurtaThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdp18314-beige.html,
